Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Atoka County, Oklahoma",13823,20443,4753,40.2%
"Beaver County, Oklahoma",5377,24514,2441,39%
"Beckham County, Oklahoma",22268,24480,8738,35.9%
"Blaine County, Oklahoma",9556,25851,3548,43.5%
"Bryan County, Oklahoma",46457,23979,19896,37.2%
"Caddo County, Oklahoma",29242,23167,11308,37.7%
"Canadian County, Oklahoma",140455,30755,70773,35.9%
"Carter County, Oklahoma",48319,26094,21198,38.2%
"Cherokee County, Oklahoma",48664,22161,19665,35.3%
"Choctaw County, Oklahoma",14807,21277,5171,42%
"Cimarron County, Oklahoma",2174,29115,973,43.8%
"Cleveland County, Oklahoma",279274,31571,141590,34.2%
"Coal County, Oklahoma",5581,24055,2128,42%
"Comanche County, Oklahoma",121762,26449,48028,33%
"Cotton County, Oklahoma",5858,23564,2330,43.5%
"Craig County, Oklahoma",14390,21318,5702,42.1%
"Creek County, Oklahoma",71427,26044,30580,40.3%
"Custer County, Oklahoma",29152,26520,13872,31.4%
"Delaware County, Oklahoma",42433,24070,15956,46.7%
"Dewey County, Oklahoma",4922,28310,2127,39.2%
"Ellis County, Oklahoma",4015,28195,1785,44.1%
"Garfield County, Oklahoma",61898,28333,28230,35.8%
"Garvin County, Oklahoma",27835,24880,11147,39.3%
"Grady County, Oklahoma",55071,30242,24682,39.2%
"Grant County, Oklahoma",4397,28815,1951,42.6%
"Greer County, Oklahoma",5861,18907,1993,40.4%
"Harmon County, Oklahoma",2710,26045,1215,40.6%
"Harper County, Oklahoma",3760,24130,1546,39.7%
"Haskell County, Oklahoma",12687,22074,4656,41%
"Hughes County, Oklahoma",13372,20572,4164,39.4%
"Jackson County, Oklahoma",25063,25555,10561,34.1%
"Jefferson County, Oklahoma",6158,24313,2233,41.5%
"Johnston County, Oklahoma",11064,21197,4140,40.1%
"Kay County, Oklahoma",44402,26189,18828,38.4%
"Kingfisher County, Oklahoma",15694,31724,7233,37.7%
"Kiowa County, Oklahoma",8886,21482,3741,42.9%
"Latimer County, Oklahoma",10348,25240,3804,41.3%
"Le Flore County, Oklahoma",50026,20902,19163,39.4%
"Lincoln County, Oklahoma",34895,25255,14183,41.2%
"Logan County, Oklahoma",46683,31105,21043,38.5%
"Love County, Oklahoma",10063,22036,3982,39.4%
"McClain County, Oklahoma",39247,32259,18641,38.5%
"McCurtain County, Oklahoma",33016,20671,12682,38.8%
"McIntosh County, Oklahoma",19725,23268,6777,47.8%
"Major County, Oklahoma",7692,28609,3342,41.1%
"Marshall County, Oklahoma",16505,22781,6476,42.8%
"Mayes County, Oklahoma",41044,24472,17282,40.6%
"Murray County, Oklahoma",13946,26943,5835,42.9%
"Muskogee County, Oklahoma",68736,23826,26517,37.9%
"Noble County, Oklahoma",11335,28011,5110,41.2%
"Nowata County, Oklahoma",10322,22930,4293,42.4%
"Okfuskee County, Oklahoma",12067,18437,3948,40.2%
"Oklahoma County, Oklahoma",787216,31609,375218,34.6%
"Okmulgee County, Oklahoma",38749,23431,15215,39%
"Osage County, Oklahoma",47226,25473,19105,42.5%
"Ottawa County, Oklahoma",31454,20814,12855,38%
"Pawnee County, Oklahoma",16412,24303,6595,41.9%
"Payne County, Oklahoma",81815,24057,36902,27.3%
"Pittsburg County, Oklahoma",44146,25524,17434,40.3%
"Pontotoc County, Oklahoma",38355,26187,17464,35.7%
"Pottawatomie County, Oklahoma",72154,24178,30187,37.7%
"Pushmataha County, Oklahoma",11128,22435,3975,44.5%
"Roger Mills County, Oklahoma",3667,30866,1574,40.6%
"Rogers County, Oklahoma",91353,32148,44056,39.1%
"Seminole County, Oklahoma",24832,20666,9297,38.8%
"Sequoyah County, Oklahoma",41709,20384,15919,40.8%
"Stephens County, Oklahoma",43647,25769,18281,40.7%
"Texas County, Oklahoma",20805,22003,10787,33%
"Tillman County, Oklahoma",7413,21974,2998,42.7%
"Tulsa County, Oklahoma",646419,32044,314296,35.7%
"Wagoner County, Oklahoma",78958,29415,36917,38.8%
"Washington County, Oklahoma",51886,30847,22277,40.2%
"Washita County, Oklahoma",11225,26265,4793,39.1%
"Woods County, Oklahoma",9043,27427,4385,33.4%
"Woodward County, Oklahoma",20727,28915,9372,36.5%
"Baker County, Oregon",16019,28700,6078,48%
"Benton County, Oregon",91107,33817,44026,33%
"Clackamas County, Oregon",410463,41492,204784,41.5%
"Clatsop County, Oregon",39102,29757,17762,44.2%
"Columbia County, Oregon",51375,31883,22601,43.3%
"Coos County, Oregon",63686,27582,25028,48.6%
"Crook County, Oregon",23011,27007,9177,47.5%
"Curry County, Oregon",22650,30021,7617,56.3%
"Deschutes County, Oregon",186251,35507,91092,42.4%
"Douglas County, Oregon",109114,26478,43291,47.1%
"Gilliam County, Oregon",1878,26482,812,50.1%
"Grant County, Oregon",7189,27367,2972,52.9%
"Harney County, Oregon",7267,26370,2974,45.9%
"Hood River County, Oregon",23209,34926,11921,39.3%
"Jackson County, Oregon",216574,30250,95367,42.6%
"Jefferson County, Oregon",23607,23987,9036,40.8%
"Josephine County, Oregon",86251,25167,31985,47.7%
"Klamath County, Oregon",66921,25880,26347,42.2%
"Lake County, Oregon",7837,24241,3131,48.6%
"Lane County, Oregon",373340,29705,173561,39.4%
"Lincoln County, Oregon",48547,27861,19011,51.6%
"Linn County, Oregon",125048,27345,54874,39.6%
"Malheur County, Oregon",30412,18974,10965,36.1%
"Marion County, Oregon",339641,27338,153727,36.6%
"Morrow County, Oregon",11303,23682,4923,38.9%
"Multnomah County, Oregon",804606,39245,440395,37.2%
"Polk County, Oregon",83037,29440,37400,37%
"Sherman County, Oregon",1642,31615,715,51.4%
"Tillamook County, Oregon",26389,27659,10307,48.1%
"Umatilla County, Oregon",77129,24444,32412,36.5%
"Union County, Oregon",26337,27646,11726,40.2%
"Wallowa County, Oregon",7004,30485,3079,52.6%
"Wasco County, Oregon",26130,27445,11819,40.8%
"Washington County, Oregon",589481,39679,308937,36.7%
"Wheeler County, Oregon",1415,21702,451,59%
"Yamhill County, Oregon",104831,31314,48740,38.3%
"Adams County, Pennsylvania",102470,31590,50873,43.9%
"Allegheny County, Pennsylvania",1221744,38709,629528,40.8%
"Armstrong County, Pennsylvania",65867,27715,29658,46.6%
"Beaver County, Pennsylvania",165833,31305,80919,45.1%
"Bedford County, Pennsylvania",48337,26078,22141,46.5%
"Berks County, Pennsylvania",418025,31571,205648,39.9%
"Blair County, Pennsylvania",123157,28119,56808,43.4%
"Bradford County, Pennsylvania",60963,28392,26863,44.5%
"Bucks County, Pennsylvania",626806,45849,331860,43.9%
"Butler County, Pennsylvania",186899,37811,93689,43.3%
"Cambria County, Pennsylvania",133009,26008,56957,45.4%
"Cameron County, Pennsylvania",4611,24528,2036,52%
"Carbon County, Pennsylvania",63887,29202,29641,46.2%
"Centre County, Pennsylvania",161960,30753,77182,32.3%
"Chester County, Pennsylvania",519560,50927,273363,40.4%
"Clarion County, Pennsylvania",38715,25157,17377,41.5%
"Clearfield County, Pennsylvania",79908,24403,34016,45%
"Clinton County, Pennsylvania",38915,25794,17883,38.6%
"Columbia County, Pennsylvania",65715,26787,30394,41%
"Crawford County, Pennsylvania",85665,26582,38398,43.2%
"Cumberland County, Pennsylvania",249328,37500,127941,40.6%
"Dauphin County, Pennsylvania",275632,33639,138855,39.7%
"Delaware County, Pennsylvania",564554,40026,279607,39%
"Elk County, Pennsylvania",30340,29772,15374,47.4%
"Erie County, Pennsylvania",273835,28306,126569,39.7%
"Fayette County, Pennsylvania",131302,27368,54869,45%
"Forest County, Pennsylvania",7313,15245,989,43.3%
"Franklin County, Pennsylvania",154147,31221,74289,41.6%
"Fulton County, Pennsylvania",14506,27396,6721,45.4%
"Greene County, Pennsylvania",36870,27783,14424,42.2%
"Huntingdon County, Pennsylvania",45369,25746,18615,43.7%
"Indiana County, Pennsylvania",85032,26509,37420,40.2%
"Jefferson County, Pennsylvania",43846,25509,19674,43.9%
"Juniata County, Pennsylvania",24624,26239,11270,42.9%
"Lackawanna County, Pennsylvania",210652,29899,99414,42.1%
"Lancaster County, Pennsylvania",540999,32194,272111,38.6%
"Lawrence County, Pennsylvania",86727,28926,39582,45.2%
"Lebanon County, Pennsylvania",139729,29130,68411,41%
"Lehigh County, Pennsylvania",365052,33566,178697,39.1%
"Luzerne County, Pennsylvania",317663,28972,151788,42.8%
"Lycoming County, Pennsylvania",114330,27950,53135,41.5%
"McKean County, Pennsylvania",41401,27023,18207,43.2%
"Mercer County, Pennsylvania",111518,27639,49378,44.7%
"Mifflin County, Pennsylvania",46276,25469,21379,44%
"Monroe County, Pennsylvania",168032,29662,80347,42.9%
"Montgomery County, Pennsylvania",823823,48845,434317,41.2%
"Montour County, Pennsylvania",18259,34575,8731,43.3%
"Northampton County, Pennsylvania",302809,35270,150437,42.2%
"Northumberland County, Pennsylvania",91761,26389,41607,44.5%
"Perry County, Pennsylvania",46053,30785,22622,43.3%
"Philadelphia County, Pennsylvania",1579075,27924,702105,34.4%
"Pike County, Pennsylvania",55453,34589,25191,48.2%
"Potter County, Pennsylvania",16806,24797,6654,47.2%
"Schuylkill County, Pennsylvania",142674,27431,62570,44.4%
"Snyder County, Pennsylvania",40483,27482,20143,40.2%
"Somerset County, Pennsylvania",74361,25781,32230,46.1%
"Sullivan County, Pennsylvania",6135,30375,2718,53.7%
"Susquehanna County, Pennsylvania",40970,31309,18046,48.4%
"Tioga County, Pennsylvania",40944,26301,17977,44.6%
"Union County, Pennsylvania",45111,27079,17908,39.5%
"Venango County, Pennsylvania",51818,26969,22682,46.9%
"Warren County, Pennsylvania",39756,28230,18266,47.4%
"Washington County, Pennsylvania",207212,35537,99980,44.5%
"Wayne County, Pennsylvania",51422,27412,21111,48.2%
"Westmoreland County, Pennsylvania",352590,34274,172201,47%
"Wyoming County, Pennsylvania",27327,29584,12835,44.7%
"York County, Pennsylvania",445565,32623,224825,41%
"Bristol County, Rhode Island",48764,46566,25125,44.3%
"Kent County, Rhode Island",163869,39869,88514,43.9%
"Newport County, Rhode Island",82801,47594,41244,45.2%
"Providence County, Rhode Island",635737,31522,314000,37.4%
"Washington County, Rhode Island",126060,42869,64995,44.6%
"Abbeville County, South Carolina",24627,22646,10104,44.3%
"Aiken County, South Carolina",168301,28396,71279,41%
"Allendale County, South Carolina",9024,16985,2890,41.9%
"Anderson County, South Carolina",198064,27552,91058,40.8%
"Bamberg County, South Carolina",14376,18479,5354,41.7%
"Barnwell County, South Carolina",21346,20297,8004,41.3%
"Beaufort County, South Carolina",186095,38946,76980,45.5%
"Berkeley County, South Carolina",215044,29662,100320,36.1%
"Calhoun County, South Carolina",14663,26398,6250,45.5%
"Charleston County, South Carolina",401165,39914,204353,37.8%
"Cherokee County, South Carolina",56895,21152,23119,39.3%
"Chester County, South Carolina",32311,22324,13196,42%
"Chesterfield County, South Carolina",45953,21325,19346,42.4%
"Clarendon County, South Carolina",33957,22824,11923,45.1%
"Colleton County, South Carolina",37585,21377,15900,42.5%
"Darlington County, South Carolina",67027,23027,26910,41.4%
"Dillon County, South Carolina",30689,17605,11808,37.7%
"Dorchester County, South Carolina",158299,29853,74909,37%
"Edgefield County, South Carolina",26927,26228,10602,42.9%
"Fairfield County, South Carolina",22565,23380,9037,46.4%
"Florence County, South Carolina",138475,26127,60708,39.2%
"Georgetown County, South Carolina",61952,31382,25080,49.5%
"Greenville County, South Carolina",507003,32679,247829,38.2%
"Greenwood County, South Carolina",70411,24752,30493,39.5%
"Hampton County, South Carolina",19564,18424,7470,40%
"Horry County, South Carolina",332172,28202,147486,45.9%
"Jasper County, South Carolina",28657,24566,12309,40.3%
"Kershaw County, South Carolina",65112,25442,28257,41.1%
"Lancaster County, South Carolina",92308,30742,38913,42.1%
"Laurens County, South Carolina",66846,23004,28437,40.7%
"Lee County, South Carolina",17365,19300,5940,41.8%
"Lexington County, South Carolina",290278,31671,140808,39.1%
"McCormick County, South Carolina",9531,25617,2803,55.2%
"Marion County, South Carolina",31308,20160,11558,40.7%
"Marlboro County, South Carolina",26753,17456,9161,40.3%
"Newberry County, South Carolina",38194,24959,16841,42%
"Oconee County, South Carolina",77528,29844,32106,45.7%
"Orangeburg County, South Carolina",87687,20716,35030,40.3%
"Pickens County, South Carolina",124029,26061,56013,36.2%
"Richland County, South Carolina",411357,30175,195730,33.4%
"Saluda County, South Carolina",20303,22814,8392,41.8%
"Spartanburg County, South Carolina",307617,27240,141860,38.2%
"Sumter County, South Carolina",106757,23460,43151,36.4%
"Union County, South Carolina",27490,23470,11760,44%
"Williamsburg County, South Carolina",31324,18257,11453,43%
"York County, South Carolina",265872,34010,132601,38.7%
"Aurora County, South Dakota",2763,37086,1495,37.8%
"Beadle County, South Dakota",18346,27655,9028,38.1%
"Bennett County, South Dakota",3425,17793,1184,28.6%
"Bon Homme County, South Dakota",6929,24131,2832,42.3%
"Brookings County, South Dakota",34601,28330,19445,27%
"Brown County, South Dakota",38915,33122,20929,37%
"Brule County, South Dakota",5258,31874,2914,40.9%
"Buffalo County, South Dakota",2026,11995,601,25.8%
"Butte County, South Dakota",10225,26961,4919,40.1%
"Campbell County, South Dakota",1485,32684,753,50.9%
"Charles Mix County, South Dakota",9349,22347,3901,35.8%
"Clark County, South Dakota",3685,30991,1716,41.4%
"Clay County, South Dakota",13957,28192,7840,24.9%
"Codington County, South Dakota",28026,30043,15388,39.1%
"Corson County, South Dakota",4150,16449,1301,28.7%
"Custer County, South Dakota",8719,33649,3997,54.8%
"Davison County, South Dakota",19871,31560,10678,38.6%
"Day County, South Dakota",5486,29808,2611,47.7%
"Deuel County, South Dakota",4318,30601,2331,42.8%
"Dewey County, South Dakota",5833,17504,2081,26.9%
"Douglas County, South Dakota",2929,30033,1400,46.7%
"Edmunds County, South Dakota",3909,34628,1934,42.4%
"Fall River County, South Dakota",6747,27556,2898,53.6%
"Faulk County, South Dakota",2312,27569,1080,47%
"Grant County, South Dakota",7149,31479,3555,42.9%
"Gregory County, South Dakota",4186,26546,1980,45.4%
"Haakon County, South Dakota",2018,24333,898,44.1%
"Hamlin County, South Dakota",6025,28822,2827,35%
"Hand County, South Dakota",3256,33200,1763,47.4%
"Hanson County, South Dakota",3399,24948,1623,36.7%
"Harding County, South Dakota",1306,31819,693,42.3%
"Hughes County, South Dakota",17608,33677,9334,38%
"Hutchinson County, South Dakota",7308,28872,3654,43%
"Hyde County, South Dakota",1319,34034,671,53.3%
"Jackson County, South Dakota",3290,13528,1004,32.2%
"Jerauld County, South Dakota",2018,42660,950,51.6%
"Jones County, South Dakota",793,27139,418,53.5%
"Kingsbury County, South Dakota",4944,35773,2686,45.1%
"Lake County, South Dakota",12717,33728,6684,43.2%
"Lawrence County, South Dakota",25478,31712,13484,42.1%
"Lincoln County, South Dakota",56826,40059,30895,34.9%
"Lyman County, South Dakota",3848,22850,1700,35.5%
"McCook County, South Dakota",5548,29020,2859,39.3%
"McPherson County, South Dakota",2297,28559,1075,50.2%
"Marshall County, South Dakota",4891,32472,2478,39.8%
"Meade County, South Dakota",27717,28809,14292,36.5%
"Mellette County, South Dakota",2052,13784,539,32.9%
"Miner County, South Dakota",2211,28381,1128,44%
"Minnehaha County, South Dakota",188674,31716,105355,34.9%
"Moody County, South Dakota",6507,31300,3249,39.9%
"Oglala Lakota County, South Dakota",14335,10388,3576,25.8%
"Pennington County, South Dakota",110685,31874,54324,39%
"Perkins County, South Dakota",2897,33678,1603,47.5%
"Potter County, South Dakota",2315,32379,1131,49.2%
"Roberts County, South Dakota",10287,26243,4661,38.1%
"Sanborn County, South Dakota",2379,32745,1320,42.6%
"Spink County, South Dakota",6483,35393,3221,43.5%
"Stanley County, South Dakota",3017,42838,1739,44.5%
"Sully County, South Dakota",1305,39226,657,46.8%
"Todd County, South Dakota",10195,10739,2433,23.8%
"Tripp County, South Dakota",5458,27036,2806,45.1%
"Turner County, South Dakota",8300,30677,4261,42%
"Union County, South Dakota",15368,42411,7958,40%
"Walworth County, South Dakota",5457,32563,2744,42.8%
"Yankton County, South Dakota",22717,31772,11449,41.8%
"Ziebach County, South Dakota",2791,16555,958,33.1%
"Anderson County, Tennessee",76061,28455,32611,43.3%
"Bedford County, Tennessee",48292,24864,22010,37.9%
"Benton County, Tennessee",16140,22636,5891,47.9%
"Bledsoe County, Tennessee",14836,21700,5417,44.1%
"Blount County, Tennessee",129927,30548,60847,43.7%
"Bradley County, Tennessee",105749,26655,49160,39.5%
"Campbell County, Tennessee",39797,24212,15458,44.1%
"Cannon County, Tennessee",14178,26435,6440,42%
"Carroll County, Tennessee",27886,22394,11173,42.5%
"Carter County, Tennessee",56433,23205,23117,45.4%
"Cheatham County, Tennessee",40181,27893,20022,40.3%
"Chester County, Tennessee",17190,22629,6886,37.7%
"Claiborne County, Tennessee",31732,21566,12091,43.1%
"Clay County, Tennessee",7654,18983,2670,47.3%
"Cocke County, Tennessee",35552,21867,13907,45.2%
"Coffee County, Tennessee",55209,26557,24880,39.7%
"Crockett County, Tennessee",14399,23771,6102,40.7%
"Cumberland County, Tennessee",59216,25832,21750,51%
"Davidson County, Tennessee",687488,36440,380627,34.3%
"Decatur County, Tennessee",11686,23857,4409,46.4%
"DeKalb County, Tennessee",19847,25399,8013,41.1%
"Dickson County, Tennessee",52680,27115,23532,39.1%
"Dyer County, Tennessee",37416,27710,16273,40.5%
"Fayette County, Tennessee",40164,33383,17626,45.8%
"Fentress County, Tennessee",18213,20093,7033,45.2%
"Franklin County, Tennessee",41725,28317,18283,42.2%
"Gibson County, Tennessee",49228,23211,20127,39.9%
"Giles County, Tennessee",29285,25690,12680,43.9%
"Grainger County, Tennessee",23101,23595,9889,45%
"Greene County, Tennessee",68834,25190,28541,44.7%
"Grundy County, Tennessee",13344,20592,5034,43.4%
"Hamblen County, Tennessee",64132,23517,26376,40.7%
"Hamilton County, Tennessee",360919,32839,173657,39.7%
"Hancock County, Tennessee",6587,23728,2195,44.5%
"Hardeman County, Tennessee",25443,18172,8055,40.3%
"Hardin County, Tennessee",25715,24243,9750,45.3%
"Hawkins County, Tennessee",56611,24695,22268,44.9%
"Haywood County, Tennessee",17623,21839,7328,42%
"Henderson County, Tennessee",27977,22695,11272,41.5%
"Henry County, Tennessee",32284,24124,12623,45.8%
"Hickman County, Tennessee",24813,22856,10001,41.1%
"Houston County, Tennessee",8164,22360,3095,43.9%
"Humphreys County, Tennessee",18435,25428,7396,42%
"Jackson County, Tennessee",11682,21037,4315,46.8%
"Jefferson County, Tennessee",53679,25159,23719,43.9%
"Johnson County, Tennessee",17753,22107,5707,46%
"Knox County, Tennessee",461104,33229,232086,37.4%
"Lake County, Tennessee",7401,15732,1812,41.5%
"Lauderdale County, Tennessee",25989,18515,9172,38.3%
"Lawrence County, Tennessee",43390,21720,16807,39.3%
"Lewis County, Tennessee",12027,21516,4920,43.3%
"Lincoln County, Tennessee",33924,26965,15088,42.6%
"Loudon County, Tennessee",52340,31478,21396,47.6%
"McMinn County, Tennessee",53053,23885,21334,42.6%
"McNairy County, Tennessee",25844,20934,9425,43.5%
"Macon County, Tennessee",23842,22527,10601,39.4%
"Madison County, Tennessee",97625,26722,43691,38.7%
"Marion County, Tennessee",28538,25467,12424,43.4%
"Marshall County, Tennessee",32965,25410,14927,38.9%
"Maury County, Tennessee",91976,28970,44397,39.1%
"Meigs County, Tennessee",12104,24525,4517,46%
"Monroe County, Tennessee",46064,23207,17730,43.9%
"Montgomery County, Tennessee",200180,26923,82421,30.8%
"Moore County, Tennessee",6378,30658,2777,45%
"Morgan County, Tennessee",21545,20204,7370,41.6%
"Obion County, Tennessee",30365,23375,12851,42.6%
"Overton County, Tennessee",22068,21808,9336,43%
"Perry County, Tennessee",7962,27970,2765,43.2%
"Pickett County, Tennessee",5079,24907,1901,50.1%
"Polk County, Tennessee",16814,25405,7188,45.6%
"Putnam County, Tennessee",77447,24946,34503,36.4%
"Rhea County, Tennessee",32719,22336,13076,38.9%
"Roane County, Tennessee",53075,30209,22195,46.4%
"Robertson County, Tennessee",70280,29524,33928,39%
"Rutherford County, Tennessee",315815,30159,168044,33.5%
"Scott County, Tennessee",21969,20849,8163,39.4%
"Sequatchie County, Tennessee",14816,23050,6117,44.1%
"Sevier County, Tennessee",97068,25283,46934,42.9%
"Shelby County, Tennessee",936374,30104,435649,35.6%
"Smith County, Tennessee",19740,28797,9136,40.3%
"Stewart County, Tennessee",13427,24113,5341,44.2%
"Sullivan County, Tennessee",157050,28429,66728,45.1%
"Sumner County, Tennessee",183437,33851,92522,39.8%
"Tipton County, Tennessee",61447,28457,27600,37.5%
"Trousdale County, Tennessee",10231,24795,4605,35.1%
"Unicoi County, Tennessee",17811,23455,7447,46.5%
"Union County, Tennessee",19488,24010,7346,43%
"Van Buren County, Tennessee",5760,20634,2134,46.9%
"Warren County, Tennessee",40702,22802,17231,40%
"Washington County, Tennessee",127805,29656,60301,40.2%
"Wayne County, Tennessee",16693,20689,5756,43%
"Weakley County, Tennessee",33510,22755,14319,38.6%
"White County, Tennessee",26800,22040,10438,43.2%
"Williamson County, Tennessee",225389,52702,114816,39.1%
"Wilson County, Tennessee",136666,34575,68351,40.4%
"Anderson County, Texas",57810,17280,19213,39.3%
"Andrews County, Texas",18036,30673,8167,30.8%
"Angelina County, Texas",87322,23147,36525,37.5%
"Aransas County, Texas",24462,30863,9814,50.6%
"Archer County, Texas",8716,34617,4438,44.5%
"Armstrong County, Texas",1973,31749,888,46%
"Atascosa County, Texas",49528,23890,19876,35.4%
"Austin County, Texas",29764,30219,13498,40.7%
"Bailey County, Texas",7100,21945,3305,33.3%
"Bandera County, Texas",22215,29561,9475,52.2%
"Bastrop County, Texas",84522,27773,36296,38.4%
"Baylor County, Texas",3577,22987,1540,45.9%
"Bee County, Texas",32611,18340,10038,35.3%
"Bell County, Texas",348574,26677,141131,31%
"Bexar County, Texas",1952843,27834,907686,33.6%
"Blanco County, Texas",11478,37998,5488,50.4%
"Borden County, Texas",613,34028,231,41.7%
"Bosque County, Texas",18296,26636,7711,46.6%
"Bowie County, Texas",93373,27095,37008,38%
"Brazoria County, Texas",360677,34561,169376,35.8%
"Brazos County, Texas",222981,27632,106349,26.5%
"Brewster County, Texas",9231,28915,4495,43.7%
"Briscoe County, Texas",1457,23933,600,46.4%
"Brooks County, Texas",7141,14523,2569,29.7%
"Brown County, Texas",37855,27463,16369,41.5%
"Burleson County, Texas",18058,30086,7823,43.3%
"Burnet County, Texas",46530,30980,21041,44.6%
"Caldwell County, Texas",42144,25086,18566,35.9%
"Calhoun County, Texas",21668,27268,9625,37.7%
"Callahan County, Texas",13856,26051,5851,44.2%
"Cameron County, Texas",421666,17430,161127,31.7%
"Camp County, Texas",12878,22449,5306,37.6%
"Carson County, Texas",6009,34708,2932,40.6%
"Cass County, Texas",30059,23075,11412,43.3%
"Castro County, Texas",7673,21884,3466,34.8%
"Chambers County, Texas",41305,35916,18917,35.2%
"Cherokee County, Texas",52118,22391,20251,37.9%
"Childress County, Texas",7253,21233,2853,34.5%
"Clay County, Texas",10403,29159,4419,46.6%
"Cochran County, Texas",2887,21463,1208,35.1%
"Coke County, Texas",3303,25285,1448,48.1%
"Coleman County, Texas",8334,27752,3542,47.2%
"Collin County, Texas",973977,44548,509180,36.9%
"Collingsworth County, Texas",2969,25681,1311,39.6%
"Colorado County, Texas",21224,29552,9553,42.9%
"Comal County, Texas",141642,38991,66229,42.2%
"Comanche County, Texas",13529,26728,5975,44.8%
"Concho County, Texas",3266,21420,905,45.3%
"Cooke County, Texas",40041,30704,19303,40.7%
"Coryell County, Texas",75280,22400,24032,31.8%
"Cottle County, Texas",1642,19797,670,37.1%
"Crane County, Texas",4802,27893,2144,32.7%
"Crockett County, Texas",3484,26178,1738,38.8%
"Crosby County, Texas",5836,19443,2489,38.4%
"Culberson County, Texas",2214,15109,1006,34.4%
"Dallam County, Texas",7304,27491,3700,31.7%
"Dallas County, Texas",2606868,32653,1305009,33.4%
"Dawson County, Texas",12813,20084,4489,33.5%
"Deaf Smith County, Texas",18736,21616,8450,31.9%
"Delta County, Texas",5249,27667,2188,44.3%
"Denton County, Texas",833822,41153,453391,35.5%
"DeWitt County, Texas",20340,28910,7710,41%
"Dickens County, Texas",2203,25025,769,46%
"Dimmit County, Texas",10438,16925,3330,34.3%
"Donley County, Texas",3342,25534,1496,41.4%
"Duval County, Texas",11268,17637,4314,36.1%
"Eastland County, Texas",18273,24548,7031,41.2%
"Ector County, Texas",160579,28954,74960,30.4%
"Edwards County, Texas",1918,24689,868,49.1%
"Ellis County, Texas",173772,32571,85372,36.2%
"El Paso County, Texas",836062,21683,352290,32.2%
"Erath County, Texas",41841,27639,20076,30.4%
"Falls County, Texas",17272,18745,5997,39%
"Fannin County, Texas",34537,27112,13998,41.3%
"Fayette County, Texas",25141,30170,11263,47%
"Fisher County, Texas",3856,28750,1709,44.6%
"Floyd County, Texas",5803,23617,2499,37.2%
"Foard County, Texas",1275,27573,570,51.2%
"Fort Bend County, Texas",765394,39994,367035,36.3%
"Franklin County, Texas",10716,28789,4798,43.2%
"Freestone County, Texas",19714,24621,7036,41.5%
"Frio County, Texas",19871,19256,6634,31.2%
"Gaines County, Texas",20706,23533,8228,27.8%
"Galveston County, Texas",332885,36819,157014,37.7%
"Garza County, Texas",6070,19997,1940,41.1%
"Gillespie County, Texas",26459,34077,12087,50%
"Glasscock County, Texas",1510,31830,738,30.8%
"Goliad County, Texas",7565,29855,3104,46.1%
"Gonzales County, Texas",20731,27407,8813,36.3%
"Gray County, Texas",22410,24686,9016,36.5%
"Grayson County, Texas",131014,28011,60989,39.9%
"Gregg County, Texas",123443,26535,55110,35.6%
"Grimes County, Texas",27984,25638,10670,40.4%
"Guadalupe County, Texas",158966,31842,74834,37%
"Hale County, Texas",33826,20986,14355,33.4%
"Hall County, Texas",3048,21907,1239,44.6%
"Hamilton County, Texas",8332,26930,3409,45.8%
"Hansford County, Texas",5520,20410,2374,35.1%
"Hardeman County, Texas",3945,24078,1701,43.5%
"Hardin County, Texas",56765,30399,24076,39.2%
"Harris County, Texas",4646630,32765,2248663,33.5%
"Harrison County, Texas",66580,27086,27934,38.7%
"Hartley County, Texas",5669,20563,2010,38.1%
"Haskell County, Texas",5726,20394,2213,43.5%
"Hays County, Texas",213366,32118,109808,32%
"Hemphill County, Texas",3994,31530,1842,36.4%
"Henderson County, Texas",81070,26121,32219,43.9%
"Hidalgo County, Texas",855176,17175,328097,29.2%
"Hill County, Texas",35689,26370,15427,42.1%
"Hockley County, Texas",23064,23604,10174,33.8%
"Hood County, Texas",58318,35606,24812,47%
"Hopkins County, Texas",36486,26821,16402,39.2%
"Houston County, Texas",22954,19129,8227,44.5%
"Howard County, Texas",36349,24547,14303,36.5%
"Hudspeth County, Texas",4415,14239,1162,37%
"Hunt County, Texas",94162,25926,41358,38%
"Hutchinson County, Texas",21344,24434,8780,38%
"Irion County, Texas",1620,28487,664,42.7%
"Jack County, Texas",8852,24956,3172,39.6%
"Jackson County, Texas",14816,27051,6602,37.7%
"Jasper County, Texas",35506,25269,13464,40.5%
"Jeff Davis County, Texas",2241,26531,763,55.8%
"Jefferson County, Texas",254340,27094,106092,36.2%
"Jim Hogg County, Texas",5231,16864,1940,32.4%
"Jim Wells County, Texas",40972,21510,16016,34.6%
"Johnson County, Texas",167212,28579,77938,36.8%
"Jones County, Texas",19943,18081,4994,38.2%
"Karnes County, Texas",15545,27612,5275,35.4%
"Kaufman County, Texas",123804,28634,58675,35.5%
"Kendall County, Texas",43769,45866,20605,41.4%
"Kenedy County, Texas",568,15211,211,39.7%
"Kent County, Texas",647,30543,263,51%
"Kerr County, Texas",51843,32988,22320,47.4%
"Kimble County, Texas",4373,30099,2051,52.1%
"King County, Texas",237,26199,113,40%
"Kinney County, Texas",3659,23934,1202,49.8%
